cellular response to interferon-alpha (GO:0035457);cellular response to interferon-beta (GO:0035458);cellular response to type I interferon (GO:0071357);negative regulation of interferon-alpha production (GO:0032687);negative regulation of interferon-beta production (GO:0032688);negative regulation of type I interferon production (GO:0032480);negative regulation of type I interferon-mediated signaling pathway (GO:0060339);positive regulation of interferon-alpha production (GO:0032727);positive regulation of interferon-beta production (GO:0032728);positive regulation of type I interferon production (GO:0032481);positive regulation of type I interferon-mediated signaling pathway (GO:0060340);regulation of interferon-alpha production (GO:0032647);regulation of interferon-beta production (GO:0032648);regulation of type I interferon production (GO:0032479);regulation of type I interferon-mediated signaling pathway (GO:0060338);response to interferon-alpha (GO:0035455);response to interferon-beta (GO:0035456);response to type I interferon (GO:0034340);type I interferon signaling pathway (GO:0060337);Interferon alpha/beta signaling Homo sapiens R-HSA-909733;Interferon Signaling Homo sapiens R-HSA-913531;Interferon Alpha Response
;;;;;;;;;;;;;;;;;;;;;
RO60;IFITM2;MX1;PTPRS;PYCARD;IL10;PTPN2;DDX3X;HSP90AA1;ZBP1;ZBP1;IL10;HSP90AA1;ZBP1;PTPN1;IFITM2;PNPT1;MX1;MX1;PTPN1;GBP7;IL4R
TPR;PNPT1;RSAD2;IL10;YY1;DDX58;YTHDF2;DHX9;DDX58;HSP90AA1;MAVS;STAT1;LILRB1;POLR3GL;ZBP1;IFITM3;STAT1;SP100;RSAD2;MX1;GBP6;CD74
AXL;STAT1;MX2;HAVCR2;PPM1B;LILRB1;YTHDF3;STAT1;TOMM70;POLR3GL;TRIM6;DDX58;PTPN11;ACOD1;PTPN2;IFITM1;IRGC;SHMT2;MX2;RSAD2;MX1;SP110
PDE12;NDUFA13;OAS1;LILRA4;PTPRS;ACOD1;STAT2;DDX58;PTPN11;PTPN11;WNT5A;CHUK;OAS1;POLA1;YTHDF2;EIF2AK2;PYHIN1;SMPD1;OAS1;MX2;NUP214;MX1
PYHIN1;IRGC;TYK2;NLRC3;SIRPA;ISG15;METTL3;CHUK;ISG15;OAS1;FADD;MAVS;TLR2;IRF1;YTHDF3;PYHIN1;UBE2G2;ISG15;TYK2;PTPN11;RSAD2;RSAD2
GATA3;PYHIN1;BST2;;LILRB1;ITCH;MUL1;HSPD1;OAS1;TLR2;NLRC5;IRF5;IRF1;CYLD;STAT2;MX2;ACOD1;SHFL;BST2;OAS1;MX2;TAP1
GAS6;HTRA2;IRF1;;REL;NPLOC4;ISG15;IFIH1;STING1;IRF1;UBE2K;IRF3;POLR3A;POLR3A;WNT5A;GATA3;OAS1;SETD2;IRF1;TYK2;NUP210;PSMB9
IFNAR1;UBE2G2;OAS2;;CACTIN;RNF125;NLRC5;MAVS;TLR2;POLR3A;;TLR9;POLR3B;POLR3B;METTL3;ADAR;IRGM;IFIT1;OAS2;BST2;PML;CXCL10
;ACOD1;IRF4;;NLRC3;PPM1B;OAS1;TBK1;IRF1;POLR3B;;TLR8;POLR3C;POLR3C;MUL1;KLHL20;BST2;TRIM56;IRF4;IRF1;NUP93;CXCL11
;OAS1;IRF5;;RELB;CYLD;USP18;IRF5;POLR3A;POLR3C;;IRF7;OAS2;IRF5;PTPN11;RO60;IRF1;;IRF5;OAS2;NUP98;IFI44L
;IRGM;OAS3;;;MAVS;DCST1;DHX36;MAVS;OAS2;;TLR7;IRF5;POLR3D;ISG15;BST2;AIM2;;OAS3;IRF4;IFI27;LAP3
;IRF1;IFI27;;;IRF3;SAMHD1;IRF3;POLR3B;IRF5;;TLR4;POLR3D;POLR3E;OAS1;TPR;CDC34;;IFI27;IRF5;TRIM14;LPAR6
;AIM2;IRF2;;;TAX1BP1;CNOT7;TLR9;POLR3C;POLR3D;;TLR3;OAS3;POLR3F;CNOT7;AXL;PLSCR1;;IRF2;OAS3;TRIM17;IFI27
;CDC34;IRF3;;;REL;OAS3;RIPK2;OAS2;OAS3;;PTPRS;POLR3F;IRF3;MAVS;PDE12;MNDA;;IRF3;IFI27;TRIM10;TRAFD1
;TRIM6;IRF8;;;CACTIN;TTLL12;TLR8;IRF5;POLR3E;;DDX3X;IRF3;IRF8;OAS3;LAMP3;XAF1;;IRF8;IRF2;NUP205;TRIM14
;IFI16;IRF9;;;PIN1;CACTIN;IRF7;POLR3D;POLR3F;;DHX9;POLR3G;POLR3G;CDC37;GAS6;UBE2K;;IRF9;IRF3;IFITM2;LY6E
;MNDA;IRF6;;;OTUD5;;TLR7;OAS3;IRF3;;HSPD1;TLR9;TAX1BP1;TTLL12;IFNAR1;PYDC5;;IRF6;IRF8;IFITM3;IFITM2
;IFNB1;IRF7;;;NLRX1;;SETD2;POLR3F;POLR3G;;LILRA4;REL;POLR3H;CACTIN;IFNAR2;SHFL;;IRF7;IRF9;SP100;IFITM3
;UBE2K;IFITM2;;;PTPRS;;TLR4;IRF3;TLR9;;NLRC3;TLR8;TRIM15;UBE2K;;IFNAR2;;IFITM2;IRF6;IFITM1;SAMD9
;PYDC5;IFITM3;;;UBA7;;TLR3;POLR3G;POLR3H;;IFIH1;IRF7;IRF7;PTPN6;;IFITM2;;IFITM3;IRF7;UBE2L6;CSF1
;;SP100;;;TRAF3IP1;;;TLR9;TRIM15;;TBK1;TLR7;POLR3K;IFNAR2;;IFITM3;;SP100;PTPN6;HERC5;IFITM1
;;IFITM1;;;GPATCH3;;;TLR8;TLR8;;DHX36;TRIM56;MRE11;ABCE1;;IFITM1;;IFITM1;IFITM2;NUP85;UBE2L6
;;IFI6;;;TNFAIP3;;;IRF7;IRF7;;RIPK2;TLR4;TRIM56;RNASEL;;NDUFA13;;IFI6;IFITM3;GBP1;SAMD9L
;;ADAR;;;NLRC5;;;TLR7;TLR7;;HAVCR2;TLR3;OTUD5;HSP90AB1;;HTRA2;;ADAR;IFITM1;NUP88;RNF31
;;IRAK1;;;LILRA4;;;TRIM56;POLR3K;;SETD2;PTPRS;RELA;NLRC5;;TRIM6;;IRAK1;IFI6;B2M;HERC6
;;IP6K2;;;UBE2L6;;;TLR4;MRE11;;;DDX3X;NLRX1;USP18;;IFI16;;IP6K2;ADAR;GBP3;LAMP3
;;GBP2;;;NLRC3;;;TLR3;TRIM56;;;DHX9;DHX9;DCST1;;IFNB1;;GBP2;SOCS3;GBP2;CCRL2
;;EGR1;;;RELB;;;DDX3X;TLR4;;;NLRC3;CRCP;SAMHD1;;IKBKE;;EGR1;SOCS1;GBP5;MVB12A
;;IFNA14;;;ILRUN;;;DHX9;TLR3;;;RELB;UBA7;TRIM6;;;;IFNA14;IP6K2;GBP4;B2M
;;STAT1;;;IFIH1;;;IFIH1;RELA;;;PYCARD;GPATCH3;FADD;;;;STAT1;GBP2;EGR1;CMTR1
;;IFNA16;;;HERC5;;;RNF135;DDX3X;;;YY1;TNFAIP3;;;;;IFNA16;EGR1;HLA-DRB5;GBP2
;;STAT2;;;PYCARD;;;TBK1;DHX9;;;RIPK2;PTPN22;;;;;STAT2;IFNA14;PRKCD;GBP4
;;IFNA17;;;RNF135;;;DHX58;CRCP;;;DDX58;DDX41;;;;;IFNA17;STAT1;HLA-C;EPSTI1
;;HLA-C;;;YY1;;;RIPK2;PTPN22;;;TOMM70;CGAS;;;;;HLA-C;IFNA16;HLA-A;BATF2
;;HLA-A;;;TBK1;;;RIOK3;DDX41;;;TIRAP;NLRC5;;;;;HLA-A;STAT2;HLA-B;HLA-C
;;ISG15;;;RNF216;;;FLOT1;CGAS;;;TRAF3;DTX4;;;;;ISG15;IFNA17;HLA-G;TENT5A
;;HLA-B;;;DHX58;;;;PQBP1;;;ISG15;PQBP1;;;;;HLA-B;HLA-C;HLA-H;TDRD7
;;HLA-G;;;PCBP2;;;;DHX33;;;STING1;UBE2L6;;;;;HLA-G;HLA-A;HLA-E;ISG15
;;HLA-E;;;SIRPA;;;;IFI16;;;PPM1B;ILRUN;;;;;HLA-E;ISG15;HLA-F;IFI44
;;HLA-F;;;TRIM25;;;;DHX36;;;MAVS;HERC5;;;;;HLA-F;HLA-B;HLA-DRB4;PARP14
;;ISG20;;;UFD1;;;;IRAK1;;;CACTIN;DHX33;;;;;ISG20;HLA-G;HLA-DRB3;MOV10
;;MYD88;;;HAVCR2;;;;STAT6;;;IFIH1;IFI16;;;;;MYD88;HLA-H;HLA-DRB1;ISG20
;;XAF1;;;IKBKE;;;;RIPK2;;;RNF135;DHX36;;;;;XAF1;HLA-E;POM121;PARP12
;;IFNAR1;;;;;;;CREBBP;;;TBK1;IRAK1;;;;;IFNAR1;HLA-F;IFI35;PLSCR1
;;IFNA10;;;;;;;STAT1;;;RNF216;STAT6;;;;;IFNA10;ISG20;IFIT2;PROCR
;;IFNAR2;;;;;;;XRCC5;;;DHX58;NLRP4;;;;;IFNAR2;XAF1;IFI30;SELL
;;IFNA6;;;;;;;DDX58;;;SIRPA;CREBBP;;;;;IFNA6;IFNAR1;IFIT1;PSME2
;;IFNA5;;;;;;;XRCC6;;;RIOK3;XRCC5;;;;;IFNA5;IFNA10;ICAM1;PSME1
;;IFNA8;;;;;;;CHUK;;;FLOT1;DDX58;;;;;IFNA8;IFNAR2;AAAS;CNP
;;RNASEL;;;;;;;TOMM70;;;;RNF26;;;;;RNASEL;IFNA6;IFIT3;LGALS3BP
;;IFNA7;;;;;;;ISG15;;;;XRCC6;;;;;IFNA7;IFNA5;MT2A;IFI35
;;IFNA2;;;;;;;STING1;;;;TIRAP;;;;;IFNA2;IFNA8;POM121C;IFIT2
;;IFNA1;;;;;;;NFKB1;;;;TRAF3;;;;;IFNA1;RNASEL;NUP62;IFI30
;;IFNA4;;;;;;;NFKB2;;;;ISG15;;;;;IFNA4;IFNA7;PLCG1;DDX60
;;IFI35;;;;;;;MYD88;;;;STING1;;;;;IFI35;IFNA2;NDC1;IFIT3
;;IFIT5;;;;;;;MAVS;;;;ITCH;;;;;IFIT5;IFNA1;TYK2;NUB1
;;IFIT2;;;;;;;POLR1C;;;;NFKB1;;;;;IFIT2;IFNA4;BST2;HELZ2
;;IFIT1;;;;;;;GAPDH;;;;NFKB2;;;;;IFIT1;IFI35;HLA-DQB1;PNPT1
;;OASL;;;;;;;LRRFIP1;;;;NPLOC4;;;;;OASL;USP18;HLA-DQB2;IL15
;;SAMHD1;;;;;;;CTNNB1;;;;RNF125;;;;;SAMHD1;IFIT2;TRIM2;NCOA7
;;IFIT3;;;;;;;PRKDC;;;;MYD88;;;;;IFIT3;IFIT1;SOCS3;EIF2AK2
;;PSMB8;;;;;;;HSPD1;;;;MAVS;;;;;PSMB8;OASL;SOCS1;NMI
;;IFNB1;;;;;;;IFIH1;;;;POLR1C;;;;;IFNB1;SAMHD1;TRIM8;OAS1
;;JAK1;;;;;;;RNF135;;;;TRIM32;;;;;JAK1;IFIT3;TRIM5;BST2
;;IFNA21;;;;;;;TBK1;;;;GAPDH;;;;;IFNA21;PSMB8;TRIM6;IRF1
;;;;;;;;;G3BP1;;;;PIN1;;;;;;IFNB1;TRIM3;ELF1
;;;;;;;;;DHX58;;;;LRRFIP1;;;;;;JAK1;RPS27A;IL7
;;;;;;;;;EP300;;;;TRAF3IP1;;;;;;IFNA21;HLA-DQA2;IRF2
;;;;;;;;;POLR2E;;;;CTNNB1;;;;;;;HLA-DQA1;IRF9
;;;;;;;;;POLR2F;;;;PRKDC;;;;;;;RANBP2;IRF7
;;;;;;;;;POLR2H;;;;IFIH1;;;;;;;STAT1;UBA7
;;;;;;;;;RIOK3;;;;RNF135;;;;;;;IFNGR1;GMPR
;;;;;;;;;FLOT1;;;;TBK1;;;;;;;STAT2;ADAR
;;;;;;;;;CD14;;;;RNF216;;;;;;;IFNGR2;CASP8
;;;;;;;;;SETD2;;;;G3BP1;;;;;;;UBE2E1;TRIM5
;;;;;;;;;POLR2K;;;;DHX58;;;;;;;NEDD4;RIPK2
;;;;;;;;;POLR2L;;;;EP300;;;;;;;HLA-DPB1;CASP1
;;;;;;;;;;;;;PCBP2;;;;;;;NUPL2;STAT2
;;;;;;;;;;;;;POLR2E;;;;;;;CD44;WARS1
;;;;;;;;;;;;;TRIM25;;;;;;;IFNA6;PARP9
;;;;;;;;;;;;;POLR2F;;;;;;;IFNA5;PSMA3
;;;;;;;;;;;;;TREX1;;;;;;;IFNA8;TXNIP
;;;;;;;;;;;;;POLR2H;;;;;;;RNASEL;CMPK2
;;;;;;;;;;;;;UFD1;;;;;;;IFNA7;CD47
;;;;;;;;;;;;;CD14;;;;;;;IFNA2;RTP4
;;;;;;;;;;;;;TRIM21;;;;;;;IFNA1;C1S
;;;;;;;;;;;;;POLR2K;;;;;;;PTAFR;OGFR
;;;;;;;;;;;;;IKBKE;;;;;;;IFNA4;TMEM140
;;;;;;;;;;;;;POLR2L;;;;;;;NUP188;USP18
;;;;;;;;;;;;;;;;;;;;PSMB8;OASL
;;;;;;;;;;;;;;;;;;;;HLA-DPA1;SLC25A28
;;;;;;;;;;;;;;;;;;;;IFNB1;IFIH1
;;;;;;;;;;;;;;;;;;;;ARIH1;PSMB8
;;;;;;;;;;;;;;;;;;;;JAK1;DHX58
;;;;;;;;;;;;;;;;;;;;JAK2;TRIM25
;;;;;;;;;;;;;;;;;;;;PTPN1;TRIM26
;;;;;;;;;;;;;;;;;;;;PTPN2;TRIM21
;;;;;;;;;;;;;;;;;;;;VCAM1;
;;;;;;;;;;;;;;;;;;;;MID1;
;;;;;;;;;;;;;;;;;;;;PTPN6;
;;;;;;;;;;;;;;;;;;;;UBE2N;
;;;;;;;;;;;;;;;;;;;;IFI6;
;;;;;;;;;;;;;;;;;;;;NUP160;
;;;;;;;;;;;;;;;;;;;;KPNA7;
;;;;;;;;;;;;;;;;;;;;FLNB;
;;;;;;;;;;;;;;;;;;;;KPNA5;
;;;;;;;;;;;;;;;;;;;;RAE1;
;;;;;;;;;;;;;;;;;;;;KPNA3;
;;;;;;;;;;;;;;;;;;;;KPNA4;
;;;;;;;;;;;;;;;;;;;;KPNA1;
;;;;;;;;;;;;;;;;;;;;KPNA2;
;;;;;;;;;;;;;;;;;;;;IFNA14;
;;;;;;;;;;;;;;;;;;;;DDX58;
;;;;;;;;;;;;;;;;;;;;IFNA16;
;;;;;;;;;;;;;;;;;;;;IFNA17;
;;;;;;;;;;;;;;;;;;;;NUP153;
;;;;;;;;;;;;;;;;;;;;ISG15;
;;;;;;;;;;;;;;;;;;;;NUP155;
;;;;;;;;;;;;;;;;;;;;PIAS1;
;;;;;;;;;;;;;;;;;;;;ISG20;
;;;;;;;;;;;;;;;;;;;;EIF4G1;
;;;;;;;;;;;;;;;;;;;;USP41;
;;;;;;;;;;;;;;;;;;;;XAF1;
;;;;;;;;;;;;;;;;;;;;IFNAR1;
;;;;;;;;;;;;;;;;;;;;EIF4G3;
;;;;;;;;;;;;;;;;;;;;PIN1;
;;;;;;;;;;;;;;;;;;;;IFNA10;
;;;;;;;;;;;;;;;;;;;;IFNAR2;
;;;;;;;;;;;;;;;;;;;;EIF4G2;
;;;;;;;;;;;;;;;;;;;;TPR;
;;;;;;;;;;;;;;;;;;;;UBC;
;;;;;;;;;;;;;;;;;;;;UBB;
;;;;;;;;;;;;;;;;;;;;IFNA21;
;;;;;;;;;;;;;;;;;;;;TRIM68;
;;;;;;;;;;;;;;;;;;;;TRIM62;
;;;;;;;;;;;;;;;;;;;;EIF2AK2;
;;;;;;;;;;;;;;;;;;;;PTPN11;
;;;;;;;;;;;;;;;;;;;;NUP133;
;;;;;;;;;;;;;;;;;;;;OAS1;
;;;;;;;;;;;;;;;;;;;;IRF1;
;;;;;;;;;;;;;;;;;;;;NUP50;
;;;;;;;;;;;;;;;;;;;;OAS2;
;;;;;;;;;;;;;;;;;;;;IRF4;
;;;;;;;;;;;;;;;;;;;;IRF5;
;;;;;;;;;;;;;;;;;;;;NUP54;
;;;;;;;;;;;;;;;;;;;;OAS3;
;;;;;;;;;;;;;;;;;;;;IRF2;
;;;;;;;;;;;;;;;;;;;;IRF3;
;;;;;;;;;;;;;;;;;;;;IFNG;
;;;;;;;;;;;;;;;;;;;;IRF8;
;;;;;;;;;;;;;;;;;;;;HLA-DRA;
;;;;;;;;;;;;;;;;;;;;IRF9;
;;;;;;;;;;;;;;;;;;;;IRF6;
;;;;;;;;;;;;;;;;;;;;IRF7;
;;;;;;;;;;;;;;;;;;;;EIF4E3;
;;;;;;;;;;;;;;;;;;;;EIF4E2;
;;;;;;;;;;;;;;;;;;;;SEH1L;
;;;;;;;;;;;;;;;;;;;;NCAM1;
;;;;;;;;;;;;;;;;;;;;UBA7;
;;;;;;;;;;;;;;;;;;;;ADAR;
;;;;;;;;;;;;;;;;;;;;NUP43;
;;;;;;;;;;;;;;;;;;;;TRIM48;
;;;;;;;;;;;;;;;;;;;;EIF4E;
;;;;;;;;;;;;;;;;;;;;IP6K2;
;;;;;;;;;;;;;;;;;;;;CIITA;
;;;;;;;;;;;;;;;;;;;;TRIM45;
;;;;;;;;;;;;;;;;;;;;TRIM46;
;;;;;;;;;;;;;;;;;;;;KPNB1;
;;;;;;;;;;;;;;;;;;;;PPM1B;
;;;;;;;;;;;;;;;;;;;;NUP35;
;;;;;;;;;;;;;;;;;;;;TRIM38;
;;;;;;;;;;;;;;;;;;;;UBA52;
;;;;;;;;;;;;;;;;;;;;TRIM34;
;;;;;;;;;;;;;;;;;;;;NUP37;
;;;;;;;;;;;;;;;;;;;;TRIM35;
;;;;;;;;;;;;;;;;;;;;EIF4A3;
;;;;;;;;;;;;;;;;;;;;CAMK2D;
;;;;;;;;;;;;;;;;;;;;EIF4A2;
;;;;;;;;;;;;;;;;;;;;NUP107;
;;;;;;;;;;;;;;;;;;;;EIF4A1;
;;;;;;;;;;;;;;;;;;;;TRIM31;
;;;;;;;;;;;;;;;;;;;;CAMK2A;
;;;;;;;;;;;;;;;;;;;;CAMK2B;
;;;;;;;;;;;;;;;;;;;;USP18;
;;;;;;;;;;;;;;;;;;;;OASL;
;;;;;;;;;;;;;;;;;;;;SAMHD1;
;;;;;;;;;;;;;;;;;;;;FCGR1A;
;;;;;;;;;;;;;;;;;;;;TRIM29;
;;;;;;;;;;;;;;;;;;;;SUMO1;
;;;;;;;;;;;;;;;;;;;;MAPK3;
;;;;;;;;;;;;;;;;;;;;TRIM25;
;;;;;;;;;;;;;;;;;;;;TRIM26;
;;;;;;;;;;;;;;;;;;;;TRIM21;
;;;;;;;;;;;;;;;;;;;;CAMK2G;
;;;;;;;;;;;;;;;;;;;;FCGR1B;
;;;;;;;;;;;;;;;;;;;;TRIM22;